first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Barbara,Lee,CA,13,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/13/2017,
Janice,Schakowsky,IL,09,D,1/24/2017,4/6/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/13/2017,
Keith,Ellison,MN,05,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/13/2017,
Ro,Khanna,CA,17,D,2/14/2017,4/4/2017,5/25/2017,5/16/2017,1/31/2017,6/22/2017,7/26/2017,
Earl,Blumenauer,OR,03,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/27/2017,
Raul,Grijalva,AZ,03,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,,7/13/2017,
Karen,Bass,CA,37,D,3/10/2017,4/20/2017,5/25/2017,,2/1/2017,6/8/2017,7/13/2017,
James,McGovern,MA,02,D,1/24/2017,,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/13/2017,
Mark,Takano,CA,41,D,1/24/2017,,5/25/2017,2/16/2017,1/31/2017,6/8/2017,7/14/2017,
Alan,Lowenthal,CA,47,D,2/3/2017,5/2/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,,
John,"Conyers, Jr.",MI,13,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,,
Mark,Pocan,WI,02,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,,
Eleanor,Holmes Norton,DC,Delegate,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,1/31/2017,6/8/2017,,
Grace,Napolitano,CA,32,D,1/24/2017,4/4/2017,5/25/2017,,1/31/2017,,7/13/2017,
Katherine,Clark,MA,05,D,1/24/2017,,5/25/2017,2/16/2017,1/31/2017,,7/13/2017,
José,Serrano,NY,15,D,1/24/2017,,5/25/2017,,1/31/2017,6/8/2017,7/13/2017,
Jamie,Raskin,MD,08,D,2/14/2017,4/4/2017,5/25/2017,5/23/2017,3/23/2017,,,
Pramila,Jayapal,WA,07,D,1/24/2017,4/4/2017,5/25/2017,4/3/2017,1/31/2017,,,
Zoe,Lofgren,CA,19,D,1/24/2017,5/2/2017,5/25/2017,,1/31/2017,6/8/2017,,
Chellie,Pingree,ME,01,D,1/24/2017,5/2/2017,5/25/2017,,1/31/2017,6/8/2017,,
David,Cicilline,RI,01,D,4/3/2017,4/4/2017,5/25/2017,,1/31/2017,6/8/2017,,
Robert,Scott,VA,03,D,1/24/2017,4/4/2017,5/25/2017,,1/31/2017,6/8/2017,,
Richard,Nolan,MN,08,D,1/24/2017,4/4/2017,5/25/2017,2/16/2017,,6/12/2017,,
