first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Barbara,Lee,CA,13,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Keith,Ellison,MN,05,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Janice,Schakowsky,IL,09,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
James,McGovern,MA,02,D,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,
José,Serrano,NY,15,D,TRUE,,TRUE,,TRUE,TRUE,TRUE,
Karen,Bass,CA,37,D,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,
Jared,Polis,CO,02,D,TRUE,,TRUE,,,TRUE,TRUE,
Raul,Grijalva,AZ,03,D,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,
Katherine,Clark,MA,05,D,TRUE,,TRUE,TRUE,TRUE,,TRUE,
Grace,Napolitano,CA,32,D,TRUE,TRUE,TRUE,,TRUE,,TRUE,
Bobby,Rush,IL,01,D,TRUE,,TRUE,,TRUE,,TRUE,
Mark,Takano,CA,41,D,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,
Wm.,Lacy Clay,MO,01,D,TRUE,,TRUE,,TRUE,,TRUE,
Tulsi,Gabbard,HI,02,D,TRUE,,TRUE,,,,TRUE,
Ro,Khanna,CA,17,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Earl,Blumenauer,OR,03,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Grace,Meng,NY,06,D,TRUE,,TRUE,,TRUE,TRUE,TRUE,
John,"Conyers, Jr.",MI,13,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Mark,Pocan,WI,02,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Eleanor,Holmes Norton,DC,Delegate,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Alan,Lowenthal,CA,47,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Ted,Lieu,CA,33,D,TRUE,,TRUE,TRUE,TRUE,TRUE,,
Eddie,Bernice Johnson,TX,30,D,,,TRUE,TRUE,TRUE,TRUE,,
Jared,Huffman,CA,02,D,TRUE,,TRUE,TRUE,TRUE,TRUE,,
David,Cicilline,RI,01,D,TRUE,TRUE,TRUE,,TRUE,TRUE,,
Robert,Scott,VA,03,D,TRUE,TRUE,TRUE,,TRUE,TRUE,,
