first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
Terri,Sewell,AL,07,D,,,True,,,True,,,
Ruben,Gallego,AZ,07,D,True,True,True,,True,True,True,,
Raul,Grijalva,AZ,03,D,True,True,True,True,True,,,,
Tom,O'Halleran,AZ,01,D,,,,,,,,,
Kyrsten,Sinema,AZ,09,D,,,,,,,,,
Pete,Aguilar,CA,31,D,,,True,,True,True,,,
Nanette,Barragán,CA,44,D,True,,True,,True,,,,
Karen,Bass,CA,37,D,True,True,True,,True,True,True,,
Ami,Bera,CA,07,D,,,,,True,,,,
Julia,Brownley,CA,26,D,,,True,,True,True,,,
Salud,Carbajal,CA,24,D,,,True,,True,,,,
Tony,Cárdenas,CA,29,D,,,True,,True,,,,
Judy,Chu,CA,27,D,True,True,True,,True,,,,
Luis,Correa,CA,46,D,True,,,,,,,,
Jim,Costa,CA,16,D,,,,,,,,,
Susan,Davis,CA,53,D,,,True,,True,True,,,
Mark,DeSaulnier,CA,11,D,True,,True,,True,True,,,
Anna,Eshoo,CA,18,D,True,True,True,,,True,,,
John,Garamendi,CA,03,D,True,,True,True,,True,,,
Jimmy,Gomez,CA,34,D,True,,,,,,,,
Jared,Huffman,CA,02,D,True,,True,True,True,True,,,
Ro,Khanna,CA,17,D,True,True,True,True,True,True,True,True,
Barbara,Lee,CA,13,D,True,True,True,True,,True,True,True,
Ted,Lieu,CA,33,D,True,,True,True,True,True,,True,
Zoe,Lofgren,CA,19,D,True,True,True,,True,True,,,
Alan,Lowenthal,CA,47,D,True,True,True,True,True,True,,,
Doris,Matsui,CA,06,D,True,,True,,True,True,,,
Jerry,McNerney,CA,09,D,True,,,,True,True,,,
Grace,Napolitano,CA,32,D,True,True,True,,True,,True,,
Jimmy,Panetta,CA,20,D,True,,True,,,True,,,
Nancy,Pelosi,CA,12,D,,,True,,,,,,
Scott,Peters,CA,52,D,,,True,,True,True,,,
Lucille,Roybal-Allard,CA,40,D,True,,True,True,,,,,
Raul,Ruiz,CA,36,D,,,True,,,,,,
Linda,Sánchez,CA,38,D,True,,True,,True,,,,
Adam,Schiff,CA,28,D,True,,True,,True,,,,
Brad,Sherman,CA,30,D,True,,True,,,,,,
Jackie,Speier,CA,14,D,True,,True,,True,True,,,
Eric,Swalwell,CA,15,D,True,True,True,,True,True,,,
Mark,Takano,CA,41,D,True,,True,True,True,True,True,,
Mike,Thompson,CA,05,D,True,,True,,True,True,,True,
Norma,Torres,CA,35,D,,,True,,True,True,,,
Juan,Vargas,CA,51,D,,,True,,,,,,
Maxine,Waters,CA,43,D,True,,True,,,,,,
Diana,DeGette,CO,01,D,True,,True,,True,True,,,
Ed,Perlmutter,CO,07,D,True,,True,,True,True,,,
Jared,Polis,CO,02,D,True,,True,,,True,True,,
Joe,Courtney,CT,02,D,,,True,,,True,,,
Rosa,DeLauro,CT,03,D,,,True,True,True,True,,,
Elizabeth,Esty,CT,05,D,,,True,,True,True,,,
James,Himes,CT,04,D,,,True,,,,,,
John,Larson,CT,01,D,,,True,,,,,,
Eleanor,Norton,DC,Delegate,D,True,True,True,True,True,True,,True,
Lisa,Blunt Rochester,DE,At Large,D,,,True,,True,True,,,
