first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
Terri,Sewell,AL,7,D,,,True,,,True,,,
Tom,O'Halleran,AZ,1,D,,,,,,,,,
Raul,Grijalva,AZ,3,D,True,True,True,True,True,,,,
Ruben,Gallego,AZ,7,D,True,True,True,,True,True,True,,
Kyrsten,Sinema,AZ,9,D,,,,,,,,,
Jared,Huffman,CA,2,D,True,,True,True,True,True,,,
John,Garamendi,CA,3,D,True,,True,True,,True,,,
Mike,Thompson,CA,5,D,True,,True,,True,True,,True,
Doris,Matsui,CA,6,D,True,,True,,True,True,,,
Ami,Bera,CA,7,D,,,,,True,,,,
Jerry,McNerney,CA,9,D,True,,,,True,True,,,
Mark,DeSaulnier,CA,11,D,True,,True,,True,True,,,
Nancy,Pelosi,CA,12,D,,,True,,,,,,
Barbara,Lee,CA,13,D,True,True,True,True,,True,True,True,
Jackie,Speier,CA,14,D,True,,True,,True,True,,,
Eric,Swalwell,CA,15,D,True,True,True,,True,True,,,
Jim,Costa,CA,16,D,,,,,,,,,
Ro,Khanna,CA,17,D,True,True,True,True,True,True,True,True,
Anna,Eshoo,CA,18,D,True,True,True,,,True,,,
Zoe,Lofgren,CA,19,D,True,True,True,,True,True,,,
Jimmy,Panetta,CA,20,D,True,,True,,,True,,,
Salud,Carbajal,CA,24,D,,,True,,True,,,,
Julia,Brownley,CA,26,D,,,True,,True,True,,,
Judy,Chu,CA,27,D,True,True,True,,True,,,,
Adam,Schiff,CA,28,D,True,,True,,True,,,,
Tony,Cárdenas,CA,29,D,,,True,,True,,,,
Brad,Sherman,CA,30,D,True,,True,,,,,,
Pete,Aguilar,CA,31,D,,,True,,True,True,,,
Grace,Napolitano,CA,32,D,True,True,True,,True,,True,,
Ted,Lieu,CA,33,D,True,,True,True,True,True,,True,
Jimmy,Gomez,CA,34,D,True,,,,,,,,
Norma,Torres,CA,35,D,,,True,,True,True,,,
Raul,Ruiz,CA,36,D,,,True,,,,,,
Karen,Bass,CA,37,D,True,True,True,,True,True,True,,
Linda,Sánchez,CA,38,D,True,,True,,True,,,,
